الصف,المهارة,ناتج التعلم,مؤشر التعلم,,,,,,,,,,,,,,,,,,,,,,
الأول,مهارة الاستماع,,,,,,,,,,,,,,,,,,,,,,,,
,,,يصل بين حروف الكلمة بشكل صحيح.,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب من اليمين إلى الشمال.,,,,,,,,,,,,,,,,,,,,,,
,,يكتب الحروف والكلمات والجمل كتابة عربية صحيحة.,,,,,,,,,,,,,,,,,,,,,,,
,,,يرسم حروف الهجاء العربية رسمًا صحيحًا.,,,,,,,,,,,,,,,,,,,,,,
,,,يميز بين الحروف في أول الكلمة وأوسطها وآخرها.,,,,,,,,,,,,,,,,,,,,,,
,,,يميز بين الحروف المتشابهة في النطق والرسم.,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب الحركات والسكون والتضعيف على الأحرف.,,,,,,,,,,,,,,,,,,,,,,
,,يستخدم بعض علامات الترقيم.,,,,,,,,,,,,,,,,,,,,,,,
,,,يحدد بعض علامات الترقيم الأساسية.,,,,,,,,,,,,,,,,,,,,,,
,,,يستخدم بعض علامات الترقيم الأساسية.,,,,,,,,,,,,,,,,,,,,,,
,,يراعي قواعد الكتابة الخطية.,,,,,,,,,,,,,,,,,,,,,,,
,,,يراعي الرسم الصحيح للحروف.,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب بخط النسخ.,,,,,,,,,,,,,,,,,,,,,,
,,"يطبق استراتيجيات مهارة الكتابة (قبل، أثناء، بعد) الكتابة",,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب قصة بسيطة بعد ترتيب صورها.,,,,,,,,,,,,,,,,,,,,,,
,,,يصف كتابة صورة أو مشهدًا رآه.,,,,,,,,,,,,,,,,,,,,,,
,,,"يرتب بعض الكلمات ليكون جملًا (أيام الأسبوع، الألوان)",,,,,,,,,,,,,,,,,,,,,,
,,,"يستخدم الروابط البسيطة بين الكلمات (و، ثم، ف)",,,,,,,,,,,,,,,,,,,,,,
,,,يستخدم تعبيرات تتعلق بشخص أو موقف مألوف.,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب جملًا تامة.,,,,,,,,,,,,,,,,,,,,,,
,,"يكتب نصوصًا متنوعة ومناسبة للمرحلة (وظيفية، إبداعية)",,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب اسمه وبعض البيانات الشخصية.,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب تعليقًا على صورة.,,,,,,,,,,,,,,,,,,,,,,
,,,يكتب عن حدث مر به يرتبط بأحداث الصورة.,,,,,,,,,,,,,,,,,,,,,,
,,,"يكتب جملا وصفية (أشخاص، أماكن، أحداث)",,,,,,,,,,,,,,,,,,,,,,
,,يقوم المادة المكتوبة وينشرها.,,,,,,,,,,,,,,,,,,,,,,,
,,,"يراجع ما كتبه مع معلمه لتحسين مستوى الكتابة (إضافة، وحذفًا، تعديلًا)",,,,,,,,,,,,,,,,,,,,,,
,,,يتبادل المادة المكتوبة في محيطه وينشرها.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,الصرف والتركيب,,,,,,,,,,,,,,,,,,,,,,,,
